name,comment,label_gus,label_le,label_ren,label_lif,label_sum
egil_muhammad26,Di amerika kotak suaranya dari kardus gak?,Netral,Netral,,,Netral
cikwang99,"""Ini adalah kecurangan besar di negara kita"", kalimat ini seperti ga asing ....",Negatif,Negatif,,,Negatif
adiya_asva,Mungkinkah nanti trump menjadi mentri pertahanan AS. . .😁😁,Netral,Netral,,,Netral
etika.puri,"""ini adalah kecurangan dinegara Kita""... Familiar sekali dengan kata2 ini di setiap election, termasuk dinegara Kita 😂. Dan ini hanya di ucapkan oleh pihak yang kalah",Negatif,Negatif,,,Negatif
rswnd_wan,Jokowi-prabowo versi barat inimah🤣,Netral,Netral,,,Netral
ritalusii,77 tahun masih bisa berfikir cerdas dan jadi presiden🔥🔥 ❤️yang masih remaja disuruh emaknya nyari barang nyelip aja ngga ketemu-temu.,Positif,Positif,,,Positif
elia.suzana,"Selamat buat Joe Biden, Terpilih jadi presiden Amerika semoga amanah tidak mendiskriminasi ummat Islam",Positif,Positif,,,Positif
vannielzira,Gabakalan jadi presiden kalo ga ada restu dari para elite global 😅,Negatif,Negatif,,,Negatif
rrn.yinn,"As pemilu, Yang nungguin hasilnya satu dunia:'",Netral,Netral,,,Netral
iamtoiio,Pendukung Trump bakal demo besar2an nih,Negatif,Negatif,,,Negatif
sam_ariee_,joe biden terpilih menjadi presiden di amerika serikat letak keuntungan bagi negara indoesia apa atau merugikan..?,Netral,Netral,,,Netral
dwinurwinarno,Enak yg cara ngomongnya pada tegas pemimpin luar mah gk kya ....emmmmmmmm wkwkwkwk,Positif,Positif,,,Positif
merysusanti31,"Siapapun yang menang semoga tidak mendiskriminasi SARA(suku,ras,agama) apapun ya, terutama ISLAM",Positif,Positif,,,Positif
eastersarah,"Bukan membela.. tapi buat Yang ga tinggal di US Dan gatau betapa kotornya politik kali ini.. lebih baik jangan mengkritik berlebihan. You don’t know what you don’t know. Media terlalu dipelintir dan value of the party does not matter anymore because we believe media too much. Kenapa dia bilang it’s a fraud? Sekarang bayangin, anda nyoblos ke TPU ga ditanya KTP, langsung dikasih paper. Sekarang, anda bisa pulang ganti Baju dateng lagi nyoblos lagi. Itu kan fraud. Contoh 2, ada orang bukan warna negara bisa nyoblos, make sense? Of course not ;) so be more critical",Negatif,Negatif,,,Negatif
yamato_sensei23,"Semoga tidak ada lagi pernyataan yg kontrasepsi lagi, seperti presiden sebelumnya..",Positif,Positif,,,Positif
nikcypratamasaragih,Ngehitung suara kok dini hari situ dpr?,Negatif,Negatif,,,Negatif
faisalarif19,"Di balik Joe Biden ada para globalis yang berperan, pasti bakal di menangkan dengan cara apapun..",Negatif,Negatif,,,Negatif
zenifahrulgunawan,trump jadi menhan🔥,Netral,Netral,,,Netral
luis_handika,Biden pro akan pernikahan sesama jenis bisa bahaya nih,Negatif,Negatif,,,Negatif
hrcb170,"Trump harus belajar banyak dgn Presiden RI gimana caranya menang 2x, Begitupun Partai Republik harus belajar lg dgn PDIP gimana caranya menang pemilu 2x. Harusnya Partai Republik pakai strategi merangkul sebelum Pemilu,seperti halnya PDIP sebelum pemilu milenia dirangkul setelah menang baru di lepeh😁. Tp koq seperti DEJAVU ya antara Pilpres Indo dan Pilpres US. Ini apakah krn Trump pernah foto bareng salah satu anggota DPR (lupa siapa namanya) sehingga strateginya hampir sama digunakan. STRATEGI NGAMBEK Jgn2 mereka 1 guru 1 ilmu 😁",Negatif,Negatif,,,Negatif
marniesumrani,Semoga janjinya dpt di tepati. Terutama janji untuk umat muslim Amerika,Positif,Positif,,,Positif
linux_f30,Aku pernah melihat kasus ini disuatu tempat,Netral,Netral,,,Netral
muhammadjagatkautsar,Waduh nih org kan pro LGBT...,Negatif,Negatif,,,Negatif
dadangbgkt_,Sm9ga lebih baik dari Trump,Positif,Positif,,,Positif
masirsyad_,Verified,Netral,Netral,,,Netral
adeadean_,"Nanti trump jadi mentri nya biden, kaya disuatu negara berkembang.... 🤭",Netral,Netral,,,Netral
sejarahbelajar,"Soros benar, Trump hanya sampai 2020 😥",Netral,Netral,,,Netral
rezyriswandy,Petugas KPU nya kok gak ada yg meninggal,Netral,Netral,,,Netral
benita_wijaya,semoga janjinya untuk umat muslim dapat di penuhi,Positif,Positif,,,Positif
wimbayo,Siap² Pak Biden angkat anak dan menantu jd calon walikota :),Netral,Netral,,,Netral
sulistyanidjojosumarto,"Semangat pak Joe Biden dan Pak Kamala Harris, semoga sukses memimpin AS, bisa memberikan contoh Demokrasi yg lebih baik dibanding pemerintah sebelumnya aamiin yra",Positif,Positif,,,Positif
tandananda_,"Pak biden tolong dunia lagi genting membutuhkan pemimpin yg adil dan bertoleransi, semoga pak biden bisa memimpin dengan bijaksana",Positif,Positif,,,Positif
hmaytri,Jangan-jangan berakhir dengan Trump jadi Menteri Department of Defense-nya USA 🤐,Netral,Netral,,,Netral
nyonyah_voncez,Salut banget atas kecerdasan dan etika Pers di US dalam meliput proses pemilu di Negara itu. Pemberitaan/Pernyataan hoax atau misleading dari pernyataan Trump tidak diberitakan kembali ATAU pernyataan misleading di konfirmasikan dg data yg benar dan akurat sehingga Masyarakat teredukasi. Semoga ada Pers di Indonesia yang bisa mencontoh kecerdasan dalam pemberitaan yg mengedukasi Masyarakat awam. Bukan menyebarkan hoax dan perpecahan,Positif,Positif,,,Positif
heynyaii,"Just wondering kenapa semua media konvensional memberitakan sisi buruk Trump 7 : 3 ketimbang Biden 😅. Narasi please, bisa tampilkan juga pada masa Pemerintahan Obama-Biden apa saja yg terjadi #menolaklupa",Negatif,Negatif,,,Negatif
maisarahmai96,gw sih dipihak trump..,Negatif,Negatif,,,Negatif
gilangswasongko,"Trump : suka ""perang dagang"" , Biden : suka ""perang sungguhan(war) """,Negatif,Negatif,,,Negatif
surabayaband,"Siap"" perang dunia ketiga...siap"" antikris beraksi...siap"" keruntuhan aklak manusia karna di masa obama biden mensahkan pernikahan sejenis...",Negatif,Negatif,,,Negatif
dshadow093,"Semoga kepilihnya Biden jadi presiden baru Amerika bisa ngehapus kebijakan"" Trump yg mendeskriminasi komunitas LGBTQ+, Biden berhutang banyak ke org"" kulit hitam, latin, indigenous, LGBTQ+, dan semua minoritas lainnya",Positif,Positif,,,Positif
hailzaman,Mending juga si Trump yg jadi presiden,Negatif,Negatif,,,Negatif
andiraa,Dejavu ih. @najwashihab,Netral,Netral,,,Netral
sonytrii,Asseekkk JB naekk korona ilang neeehhh,Positif,Positif,,,Positif
nafiah1717,Rakyat Indonesia mendadak DEJAVU liat ini,Netral,Netral,,,Netral
rizky_bama_,Selamat ya pak jubidin👏👏 saya bangga sebagai tetanggamu,Positif,Positif,,,Positif
ikall.new,Namanya bukan Joe Biden tapi Zoe baidah😂😂,Netral,Netral,,,Netral
dul_ck,Apakah besok trump jadi menhan? Dan mark zurkberg jadi mentri pendidikan?? Kita saksikan selanjutnya 😁😁,Netral,Netral,,,Netral
ekihadiprayogo,Di Amerika nyoblos nya pake paku apa gak yaaa?? Abis nyoblos jari nya di celupin ke tinta nggak yaaa???,Netral,Netral,,,Netral
taliwong,electoral college vote sudah atau belum ya? 🤔,Netral,Netral,,,Netral
mufr.20,"Biden? Menang? Inget ini, bakalan jdi perang besar",Negatif,Negatif,,,Negatif
titoetdyahayu,Donald trump jadi Mentri Pertahanan aja ...😅,Netral,Netral,,,Netral
rumankhr,Hebat ya bisa jadi presiden btw dulu alumni akbid mana nih,Positif,Positif,,,Positif
erikafarel,Masih jujur penghitungan suaranya brarti krn petahana bisa kalah..😀,Positif,Positif,,,Positif
imamsasak_on,"siapapun presiden amerika, pasti berpengaruh ke seluruh dunia, khususnya yg paling merasakan adalah islam, seandainya amerika itu negara mayoritas muslim, pasti damai sentosa dunia, karna islam cinta perdamaian 😁",Positif,Positif,,,Positif
mftrh.rmdhn_,Merintis karir politik dari bawah bagus sekali nggak cuma Nyalonin langsung jadi wkwk🤣,Positif,Positif,,,Positif
rullyalfiady,Hebat capres kita bisa menginspirasi pilpres USA..,Netral,Netral,,,Netral
itsm3_shania,Akhirnya donald trump menjadi menteri pertahanan😂,Netral,Netral,,,Netral
laras.alw,@yenikhr_,Netral,Netral,,,Netral
muhammad_idrisleo,"Meskipun Joe Biden sudah tua (±78 Tahun), tetapi saya yakin dia lebih bijak dalam menghadapi segala persoalan dan lebih matang cara berpikir nya.",Positif,Positif,,,Positif
rafaelfychenzo,Trump❤️,Negatif,Negatif,,,Negatif
marissahaque,😍😍😍😍,Positif,Positif,,,Positif
jaya.ramadhan12345,"Biden,mirip captain Amerika pas udah tua di end game🤣🤣",Netral,Netral,,,Netral
ronggonurcahyo,Petugas TPS Ada yang Meninggal karena Kelelahan gak ya??,Netral,Netral,,,Netral
jimmisahetapy,78 th msh bisa action... luar biasa. Selamat Opa Biden jadi Presiden Amerika. GBU,Positif,Positif,,,Positif
dewiafh,MANTAP MBAK NANA KUPAS TUNTAS 😗😗😗,Positif,Positif,,,Positif
ume_enong,"@rizkidwfe astagfirullah... tp siapa tau... dan buat semua lu lu pd ribudt, si JB dah tambah tua ajj. Ga usa ribudt sesama warga indonesia yg ramah ya, kl koment ga usa pada pake tanduk, mu menang sendiri semua. mu warga desa, mu warga kota, mu yg pinter mu yg bloon, bijaklah pake sosmed, disini mecahin solusi, gmn lah bangsa kita mu maju kalo anak2 mudanya begini. ribudt mulu. kalo gue bc koment, semua tu ad bnr ad kurg jg, dibalik ini semua atau setiap kejadian tu ga sepenuhnya kita tau gengs... gua yakin lo pada sbnrnya baek cmn pada ga mau ditikung kl koment🤣🙏 cuman ngingetin, negara kita lg butuh kalian...🙄",Netral,Netral,,,Netral
m_fadly_mahardika,"Alurnya sama kaya d kita ya, 😅",Netral,Netral,,,Netral
nurmalis_lies,"Biden nya dinegaraku adalah ""Jokowi """,Netral,Netral,,,Netral
siisadam,YES ❤️,Positif,Positif,,,Positif
garingzeto34,INSYA ALLAH PAK BIDEN TIDAK AKAN INKAR JANJI UNTUK SELALU MELINDUNGI YANG BERAGAMA ISLAM DI USA. BRAVO BIDEN🙏❤️,Positif,Positif,,,Positif
sigitdenmas,Kamu dulu juga curang..,Negatif,Negatif,,,Negatif
laili_banana,"Ada elite global di balik joe biden🤣, siap"" Vaksin dan virus"" lain wkwkwk",Negatif,Negatif,,,Negatif
salsaabilarh_,kawal trump 2 periode👌🏻,Negatif,Negatif,,,Negatif
horasgaming_yt,Joe Biden dari depannya sih masih ok kita akan lihat bagian belakangnya,Positif,Positif,,,Positif
aldrinur.fr,kok ga ada yg mati petugas TPS nya,Netral,Netral,,,Netral
angga_nugrez,akhirnya kalah juga..yg disini kapan😄,Negatif,Negatif,,,Negatif
dewimuktiiw_,@idaaistiqomah,Netral,Netral,,,Netral
shandrarobbany0911,Grateful Joe biden win,Positif,Positif,,,Positif
shandrarobbany0911,❤❤❤❤,Positif,Positif,,,Positif
supraptiyogayoga2019,Tuhan tolong menangkan kami menangkan jago kami karena kami takut jika tidak kamu menangkan jago kami ..kami takut tidak ada yg nyembah kamu,Netral,Netral,,,Netral
slmdnchsn,Semoga gak kaya Pk. Trump,Positif,Positif,,,Positif
